creation_date,number_of_works,total_number_of_words
12/18/2015,1689,11511192
12/19/2015,2205,14372765
12/20/2015,2780,15789078
12/21/2015,2141,14600954
12/22/2015,2216,14379335
12/23/2015,2295,13181941
12/24/2015,3015,15277245
12/25/2015,2594,11718757
12/26/2015,2201,12954419
12/27/2015,2038,14724387
12/28/2015,2003,13987413
12/29/2015,2018,14260485
12/30/2015,1969,15146006
12/31/2015,2183,13767335
1/1/2016,2040,14512521
1/2/2016,2139,17204465
1/3/2016,2327,20651528
1/4/2016,2095,15264974
1/5/2016,1941,14875589
1/6/2016,1818,13674959
1/7/2016,1714,12618699
1/8/2016,1698,12823260
1/9/2016,1858,14970783
1/10/2016,1906,13253605
1/11/2016,1809,13523552
1/12/2016,1729,14018854
1/13/2016,1576,13282394
1/14/2016,1541,11159766
1/15/2016,1611,13748056
1/16/2016,1667,13104817
1/17/2016,1936,15698319
1/18/2016,1928,14895707
1/19/2016,1615,13158415
1/20/2016,1459,10348744
1/21/2016,1566,12518993
1/22/2016,1571,12287178
1/23/2016,1804,14840734
1/24/2016,2102,17509706
1/25/2016,1926,16350481
1/26/2016,1648,14110422
1/27/2016,1632,11441889
1/28/2016,1526,12571165
1/29/2016,1569,10797798
1/30/2016,1756,13248993
1/31/2016,1989,13481975
2/1/2016,1794,13683412
2/2/2016,1669,13971070
2/3/2016,1578,14080413
2/4/2016,1567,10668796
2/5/2016,1615,11696250
2/6/2016,2088,16194856
2/7/2016,2342,17743208
2/8/2016,1979,13089395
2/9/2016,1879,14003060
2/10/2016,1654,14024201
2/11/2016,1579,11305081
2/12/2016,1587,11112068
2/13/2016,2118,14677632
2/14/2016,3060,20553900
2/15/2016,2770,18321193
2/16/2016,2051,15935324
2/17/2016,1771,12793317
2/18/2016,1730,13532088
2/19/2016,1804,14284090
2/20/2016,1819,15220431
2/21/2016,1971,14905175
2/22/2016,1784,15249763
2/23/2016,1607,13742662
2/24/2016,1582,11782531
2/25/2016,1603,10756392
2/26/2016,1451,11328191
2/27/2016,1759,13839531
2/28/2016,1970,13394583
2/29/2016,1774,13535852
