creation_date,number_of_works,total_number_of_words
9/13/2008,18,119741
9/14/2008,3,37148
9/15/2008,12,20489
9/16/2008,77,246028
9/17/2008,166,570137
9/18/2008,115,573099
9/19/2008,124,427973
9/20/2008,74,230701
9/21/2008,66,422310
9/22/2008,32,101344
9/23/2008,8,30099
9/24/2008,118,485151
9/25/2008,8,71132
9/26/2008,29,178078
9/27/2008,4,6429
9/28/2008,44,167344
9/29/2008,15,41130
9/30/2008,15,72858
10/1/2008,23,103506
10/2/2008,41,175209
10/3/2008,93,657107
10/4/2008,16,26459
10/5/2008,22,162798
10/6/2008,9,83542
10/7/2008,12,64039
10/8/2008,11,31123
10/9/2008,20,189030
10/10/2008,7,33953
10/11/2008,4,15780
10/12/2008,1,46400
10/13/2008,23,34118
10/14/2008,1,1968
10/15/2008,3,3683
10/16/2008,11,33747
10/17/2008,11,8338
10/18/2008,19,80425
10/19/2008,5,7705
10/20/2008,5,23993
10/21/2008,11,49241
10/22/2008,1,215
10/23/2008,2,722
10/24/2008,4,59796
10/25/2008,53,111654
10/26/2008,19,127373
10/27/2008,14,98264
10/28/2008,15,42983
10/29/2008,12,45112
10/30/2008,10,22608
10/31/2008,3,15715
11/1/2008,17,66024
11/2/2008,14,34589
11/3/2008,8,25697
11/4/2008,25,36679
11/5/2008,16,24855
11/6/2008,2,129042
11/7/2008,10,27010
11/8/2008,9,5478
11/9/2008,9,15968
11/10/2008,8,73406
11/11/2008,29,113741
11/12/2008,14,81901
11/13/2008,8,14058
11/14/2008,38,118634
11/15/2008,35,83132
11/16/2008,12,92078
11/17/2008,4,27690
11/18/2008,16,128058
11/19/2008,3,9273
11/20/2008,10,271838
11/21/2008,6,14956
11/22/2008,7,26003
11/23/2008,5,4469
11/24/2008,2,8200
11/25/2008,7,14746
11/26/2008,2,1889
11/27/2008,8,7893
11/29/2008,4,22731
11/30/2008,9,31280
12/2/2008,7,7353
12/4/2008,25,121252
12/5/2008,7,7399
12/6/2008,9,97992
12/7/2008,4,8829
12/8/2008,2,1420
12/9/2008,11,27401
12/10/2008,15,80441
12/11/2008,7,19757
12/12/2008,7,18570
12/13/2008,10,17720
12/14/2008,6,13691
12/15/2008,17,26646
12/16/2008,9,43933
12/17/2008,9,8232
12/20/2008,1,799
12/21/2008,3,11630
12/22/2008,1,1856
12/23/2008,6,13269
12/24/2008,5,26441
12/25/2008,1,1572
12/27/2008,6,31445
12/28/2008,31,78116
12/29/2008,35,73061
12/30/2008,4,7856
12/31/2008,1,432
1/1/2009,20,75484
1/2/2009,27,124348
1/3/2009,22,142927
1/4/2009,19,70525
1/5/2009,5,22078
1/6/2009,27,46047
1/7/2009,13,16262
1/8/2009,21,51447
1/9/2009,22,31147
1/10/2009,20,107818
1/11/2009,7,17187
1/12/2009,36,105485
1/13/2009,12,58188
1/14/2009,10,9678
1/15/2009,7,113155
1/16/2009,12,41814
1/17/2009,22,125914
1/18/2009,20,145220
1/19/2009,9,27398
1/20/2009,1,2735
1/21/2009,3,13032
1/22/2009,3,7572
1/23/2009,3,4606
1/24/2009,1,19909
1/25/2009,4,62317
1/26/2009,6,39380
1/27/2009,6,35492
1/28/2009,27,27082
1/29/2009,8,12659
1/30/2009,39,52200
1/31/2009,76,303308
